farm_id,birth_id,breed
18301,200197,F1
18498,100536,F1
18613,41253,F1
18653,400368,F1
18655,31754,F1
18714,400214,F1
18718,400397,F1
18765,400532,F1
18766,400369,F1
18814,400544,F1
18831,400614,F1
18863,400635,F1
18881,40577,F1
18885,A0008,F1Â
18892,A0007,F1Â
18896,400387,F1
18919,B0077,F1
18926,A0046,F1Â
18932,B0068,F1
18939,A0063,F1Â
18945,B0078,F1
18946,A0045,F1Â
18951,B0103,F1
18953,B0153,F1
18955,B0065,F1
18956,B0092,F1
18972,A0072,F1Â
18985,B0093,F1
19002,A0068,F1Â
19005,B0047,F1
19010,B0143,F1
19011,B0248,F1
19025,B0231,F1
19030,B0284,F1
19031,B0246,F1
19037,A0101,F1Â
19046,B0212,F1
19048,B0250,F1
19049,B0191,F1
19051,B0162,F1
19054,B0301,F1
19057,A0109,F1Â
19061,B0239,F1
19062,B0279,F1
19063,A0102,F1Â
19071,B0159,F1
19072,B0336,F1
19076,B0214,F1
19077,B0227,F1
19084,B0323,F1
19092,B0314,F1
19098,B0311,F1
19100,B0331,F1
19106,B0350,
19108,B0299,
19109,B0357,
19120,B0243,
19124,B0268,
19125,B0306,
19126,A0116,
19127,A0103,
19128,B0295,
19129,B0374,
19133,A0121,
19134,A0125,
19136,B0437,
19137,B0414,
19139,B0383,
19140,A0134,
19141,A0123,
19142,B0377,
19145,B0364,
19148,A0096,
19150,A0154,
19151,B0397,
19153,B0450,
19156,A0128,
19162,A0132,
19168,B0427,
19169,B0399,
19172,B0444,
19175,B0416,
19178,B0391,
19180,B0375,
19182,B0396,
19185,A0139,
19187,B0363,
19196,B0446,
19198,B0499,
19203,B0469,
19204,A0179,
19206,B0490,
19211,B0455,
19212,B0436,
19213,B0430,
19214,B0360,
19216,B0497,
19217,A0158,
19218,B0473,
19219,A0216,
19223,B0441,
19229,A0217,
19231,B0486,
19234,A0185,
19235,A0175,
19237,A0174,
19238,A0155,
19240,B0454,
19241,B0457,
19243,A0176,
19244,A0140,
19245,B0492,
19246,B0505,
19247,B0432,
19248,B0504,
19254,B0459,
19261,A0152,
19262,B0502,
19263,A0193,
19266,A0177,
19268,A0162,
19269,19269,
19271,A0199,
19277,A0238,
19278,B0543,
19282,B0475,
19283,B0537,
19284,19284,
19288,19288,
19291,B0467,
19293,19293,
19294,B0519,
19296,B0529,
19302,A0228,
19304,B0527,
19307,A0169,
19309,B0458,
19311,B0546,
19312,B0523,
19313,19313,
19315,B0524,
19320,B0433,
19321,B0556,
19323,B0553,
19327,A0248,
19333,B0561,
19334,A0252,
19335,B0590,
19336,B0574,
19341,A0268,
19345,A0265,
19346,A0271,
19348,B0599,
19350,B0594,
19354,B0579,
19358,B0567,
19360,19360,
19362,B0570,
19370,B0639,
19372,B0618,
19375,B0619,
19378,B0606,
19380,B0605,
19382,B0620,
19385,B0669,
19386,B0551,
19388,B0596,
19397,A0280,
19398,A0282,
19402,19402,
19403,A0278,
19405,A0247,
19408,B0651,
19414,A0284,
19415,A0272,
19416,B0642,
19418,A0286,
19423,B0668,
19429,B0744,
19430,B0695,
19434,B0612,
19435,A0291,
19441,B0699,
19447,B0751,
19448,B0673,
19449,B0725,
19454,B0670,
19455,B0754,
19456,B0780,
19460,B0697,
19464,B0696,
19467,B0703,
19474,B0692,
19478,B0786,
19479,B0727,
19480,B0734,
19484,B0748,
19486,B0781,
19489,B0694,
19490,A0293,
19493,B0708,
19494,B0730,
19500,B0806,
19501,B0762,
19505,B0686,
19506,B0723,
19507,B0797,
19515,B0816,
19516,B0733,
19517,B0726,
19518,B0827,
19519,B0837,
19522,19522,
19523,B0808,
19524,B0792,
19525,B0908,
19526,B0661,
19528,B0835,
19529,B0824,
19531,B0716,
19532,B0809,
19534,B0718,
19536,B0709,
19537,B0818,
19540,B0873,
19541,B0645,
19542,B0739,
19545,B0803,
19547,B0715,
19549,B0820,
19551,B0779,
19552,B0793,
19555,B0930,
19556,B0765,
19557,B0771,
19558,B0825,
19559,B0798,
19561,B0872,
19563,B0863,
19564,B0936,
19566,B0810,
19568,B0843,
19570,B0741,
19571,B0828,
19575,B0832,
19576,B0892,
19578,B0955,
19579,B0849,
19580,A0306,
19585,B0794,
19586,B0859,
19588,B0838,
19590,19590,
19592,B1033,
19593,B0860,
19598,B0964,
19599,B0854,
19601,B0858,
19602,B0866,
19604,B0898,
19606,B0983,
19607,B1013,
19609,B0830,
19610,B0789,
19611,B0918,
19612,B0965,
19613,B0957,
19614,B0944,
19616,B0846,
19617,B1059,
19618,A0307,
19619,B0845,
19620,B0864,
19621,B0882,
19625,B1073,
19628,B0834,
19631,B0961,
19634,B0881,
19635,B0958,
19636,A0311,
19637,B0977,
19639,B0979,
19642,B0893,
19644,B1054,
19649,B0897,
19650,B1047,
19651,B1006,
19656,B1085,
19657,B0981,
19658,B0924,
19659,B0886,
19660,B0852,
19662,B0900,
19663,B0970,
19664,B0988,
19670,B0990,
19673,B1055,
19675,B0993,
19677,B1128,
19680,B0986,
19681,B0973,
19682,B0912,
19684,B1050,
19689,B1011,
19692,B1065,
19693,B1002,
19694,B0997,
19695,B0902,
19696,B0952,
19698,B1032,
19699,B1018,
19704,B0889,
19706,B1036,
19708,B1022,
19710,B1014,
19711,B1079,
19712,B0899,
19713,B1140,
19714,19714,
19715,B1040,
19721,B0982,
19722,B1138,
19724,B1069,
19725,B0980,
19727,A0313,
19728,B1179,
19730,B1016,
19731,B1135,
19733,B1175,
19734,B1037,
19735,A0312,
19736,B0871,
19738,B1118,
19739,19739,
19741,B1031,
19743,B1012,
19745,B1133,
19749,B1113,
19751,B1185,
19754,B1143,
19755,B1149,
19756,B0940,
19757,B1132,
19758,B1141,
19759,A0310,
19761,B1176,
19762,B0890,
19763,B1041,
19764,B1151,
19765,B1125,
19766,B1167,
19767,B1152,
19768,A0308,
19777,B1120,
19778,B1251,
19779,B1232,
19781,B1126,
19783,B1169,
19784,A0321,
19785,B1231,
19786,B1088,
19791,B1146,
19792,B1091,
19793,B1015,
19794,B0896,
19795,B1046,
19797,B1230,
19798,A0314,
19799,B1227,
19800,B1216,
19803,B1030,
19804,B1148,
19805,B1188,
19806,B1225,
19808,B1213,
19809,B1165,
19811,B1328,
19813,B1302,
19816,B1202,
19818,B1281,
19820,B1233,
19821,B1195,
19822,B1262,
19824,B1209,
19826,B1261,
19827,B1186,
19830,B0888,
19831,B1253,
19832,B1264,
19833,B1301,
19834,B1427,
19837,B1443,
19838,B1249,
19841,B1288,
19842,B1420,
19844,B1342,
19845,B1297,
19848,B1441,
19849,B1335,
19851,B1386,
19854,B1423,
19855,B1286,
19858,B1275,
19859,B1285,
19862,B1330,
19863,B1421,
19864,B1353,
19865,A0336,
19866,B1238,
19867,B1220,
19868,A0344,
19873,B1464,
19874,B1323,
19876,B1498,
19878,B1383,
19881,B1444,
19882,B1161,
19883,B1485,
19884,B1276,
19885,B1439,
19887,D0048,
19890,D0064,
19891,A0327,
19892,B1293,
19893,B1221,
19894,B1077,
19896,B1432,
19897,B1448,
19898,B1474,
19899,B1201,
19900,B1404,
19901,A0345,
19903,B1475,
19904,B1313,
19905,B1374,
19906,B1376,
19907,D0033,
19908,B1127,
19910,B1142,
19912,B1316,
19913,D0052,
19914,B1122,
19916,B1406,
19918,B1479,
19919,B1362,
19920,B1340,
19921,B1488,
19922,B1300,
19923,D0079,
19925,B1496,
19926,B1492,
19928,B1236,
19930,B1369,
19931,B1471,
19933,B1416,
19934,B1334,
19935,A0357,
19937,B1497,
19943,B1493,
19944,B1193,
19945,B1307,
19946,B1435,
19947,A0359,
19949,D0108,
19951,B1277,
19952,D0028,
19953,B1440,
19954,D0037,
19957,19957,
19959,D0031,
19961,B1212,
19963,D0041,
19965,D0111,
19967,D0038,
19968,D0118,
19969,D0107,
19970,D0095,
19971,B1472,
19972,B1467,
19974,D0253,
19976,D0217,
19977,D0097,
19978,D0219,
19982,D0125,
19983,D0093,
19986,D0103,
19987,D0295,
19988,D0026,
19989,D0230,
19990,D0163,
19991,D0212,
19992,D0147,
19993,D0141,
19994,D0250,
19995,D0238,
19996,19996,
20000,D0282,
20002,D0215,
20003,D0057,
20004,D0167,
20005,D0175,
20006,D0075,
20007,D0222,
20008,D0070,
20012,D0036,
20013,D0251,
20016,D0358,
20017,D0403,
20018,D0348,
20019,D0071,
20021,D0044,
20023,20023,
20024,D0185,
20025,D0413,
20026,D0255,
20027,D0333,
20028,D0334,
20029,D0380,
20033,D0318,
20034,20034,
20035,B1487,
20037,D0169,
20039,D0051,
20041,20041,
20042,D0314,
20044,D0341,
20045,D0208,
20046,D0356,
20047,D0321,
20048,20048,
20051,D0350,
20053,D0389,
20056,D0337,
20057,D0420,
20058,D0400,
20061,D0134,
20065,D0252,
20067,D0229,
20069,D0159,
20071,D0153,
20072,20072,
20074,D0273,
20075,D0309,
20076,D0388,
20077,D0174,
20079,D0439,
20080,D0382,
20082,D0307,
20083,D0198,
